"","longitude","latitude","begin","end","ID"
"142",-122.0799,36.9442,"2001-06-18","2001-08-29","doi:10.6085/AA/TPT001_018ADCP018R00_20010618.50.1"
"143",-119.55941,34.05559,"2005-11-17","2006-02-12","doi:10.6085/AA/SCPXXX_015ADCP015R00_20051117.50.2"
"144",-119.69602,34.0313,"2005-06-02","2005-08-25","doi:10.6085/AA/PELXXX_015ADCP015R00_20050602.50.10"
"145",-119.93203,34.42403,"1999-09-06","1999-10-20","doi:10.6085/AA/ELLXXX_015ADCP015R00_19990906.50.4"
"146",-122.08045,36.943421,"2006-07-14","2006-10-11","doi:10.6085/AA/TPT001_018ADCP018R00_20060714.50.4"
"147",-122.1579,36.9729,"2000-11-19","2000-11-24","doi:10.6085/AA/SHB001_021ADCP020R00_20001119.50.1"
"148",-124.065576,44.8419,"2000-07-06","2000-09-23","doi:10.6085/AA/FC15XX_015ADCP014R00_20000706.50.4"
"149",-120.6268,34.726483,"2004-11-22","2005-02-17","doi:10.6085/AA/PURXXX_015ADCP015R00_20041122.50.1"
"150",-124.127732,44.252,"2003-07-16","2003-09-11","doi:10.6085/AA/SH15CX_015ADCP014R00_20030716.50.2"
"151",-121.898647,36.62185,"2005-04-02","2005-06-23","doi:10.6085/AA/HMS001_020ADCP019R00_20050402.50.3"
"152",-121.898647,36.62185,"2006-03-13","2006-06-12","doi:10.6085/AA/HMS001_020ADCP019R00_20060313.50.2"
"153",-119.69602,34.0313,"2003-12-02","2004-02-24","doi:10.6085/AA/PELXXX_015ADCP015R00_20031202.50.7"
"154",-120.6276,34.72602,"2001-02-15","2001-05-11","doi:10.6085/AA/PURXXX_015ADCP015R00_20010215.50.3"
"155",-122.15845,36.972121,"2003-10-31","2004-01-28","doi:10.6085/AA/SHB001_021ADCP020R00_20031031.50.3"
"156",-119.69602,34.0313,"2005-08-31","2005-11-14","doi:10.6085/AA/PELXXX_015ADCP015R00_20050831.50.4"
"157",-122.08045,36.943421,"2006-10-11","2007-01-09","doi:10.6085/AA/TPT001_018ADCP018R00_20061011.50.3"
"158",-120.6276,34.72602,"2002-11-27","2003-03-12","doi:10.6085/AA/PURXXX_015ADCP015R00_20021127.50.4"
